key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	pop	metro
Herald Sun	Obama	none					32845			35.9940329	-78.898619	NC	Durham	Herald Sun	204734	"#<struct CityMetro st=""NC"", city=""Durham"", fips_state=""37"", fips_place=""19000"", cbsa_code=""20500"", metro_name=""Durham, NC MSA"", metro_stature=""MSA"", pop_2007=479624, pop_2000=423794, pop_rank=103, pop_chg_pct_00_07=13.17, pop_chg_pct_avg=1.88, pop_at_or_above=198753193, pop_aoa_pct=65.1, metro_st=""NC"", metro_nickname=""Research Triangle, The Triangle"", csa_name=""Raleigh-Durham-Cary, NC CSA"">"
Waterbury Republican American			Bush				50903			41.5581525	-73.0514966	CT	Waterbury	Waterbury Republican American	108507	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Syracuse Herald American			Bush		Perot					43.0481221	-76.1474244	NY	Syracuse	Syracuse Herald American	141830	"#<struct CityMetro st=""NY"", city=""Syracuse"", fips_state=""36"", fips_place=""73000"", cbsa_code=""45060"", metro_name=""Syracuse, NY MSA"", metro_stature=""MSA"", pop_2007=645293, pop_2000=650154, pop_rank=80, pop_chg_pct_00_07=-0.75, pop_chg_pct_avg=-0.11, pop_at_or_above=186171650, pop_aoa_pct=61.0, metro_st=""NY"", metro_nickname=""Central New York"", csa_name=""Syracuse-Auburn, NY CSA"">"
Manhattan Mercury				Dole						39.1836082	-96.5716694	KS	Manhattan	Manhattan Mercury	45629	"#<struct CityMetro st=""KS"", city=""Manhattan"", fips_state=""20"", fips_place=""44250"", cbsa_code=""31740"", metro_name=""Manhattan, KS uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Martinsville Daily Reporter				Dole						39.4278253	-86.428328	IN	Martinsville	Martinsville Daily Reporter	11617	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Pensacola News Journal	Obama						57069			30.421309	-87.2169149	FL	Pensacola	Pensacola News Journal	56255	"#<struct CityMetro st=""FL"", city=""Pensacola"", fips_state=""12"", fips_place=""55925"", cbsa_code=""37860"", metro_name=""Pensacola-Ferry Pass-Brent, FL MSA"", metro_stature=""MSA"", pop_2007=453451, pop_2000=412153, pop_rank=108, pop_chg_pct_00_07=10.02, pop_chg_pct_avg=1.43, pop_at_or_above=201046853, pop_aoa_pct=65.9, metro_st=""FL"", metro_nickname=""Pensacola Bay Area"", csa_name=nil>"
Hopkinsville Kentucky New Era				Dole						36.8656009	-87.4886186	KY	Hopkinsville	Hopkinsville Kentucky New Era	27656	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Spokesman Review (Spokane)	McCain	Bush	Bush	Dole	Clinton		89779			47.6587803	-117.4260466	WA	Spokane	Spokesman Review (Spokane)	197262	"#<struct CityMetro st=""WA"", city=""Spokane"", fips_state=""53"", fips_place=""67000"", cbsa_code=""44060"", metro_name=""Spokane, WA MSA"", metro_stature=""MSA"", pop_2007=456175, pop_2000=417939, pop_rank=107, pop_chg_pct_00_07=9.15, pop_chg_pct_avg=1.31, pop_at_or_above=200593402, pop_aoa_pct=65.7, metro_st=""WA"", metro_nickname=""Inland Empire (Pacific Northwest)"", csa_name=nil>"
Rochester Democrat and Chronicle	Obama	Kerry	Gore		Clinton	70	145913	145913	199533	43.1547845	-77.6155568	NY	Rochester	Rochester Democrat and Chronicle	211354	"#<struct CityMetro st=""NY"", city=""Rochester"", fips_state=""36"", fips_place=""63000"", cbsa_code=""40380"", metro_name=""Rochester, NY MSA"", metro_stature=""MSA"", pop_2007=1030495, pop_2000=1037833, pop_rank=50, pop_chg_pct_00_07=-0.71, pop_chg_pct_avg=-0.1, pop_at_or_above=162734048, pop_aoa_pct=53.3, metro_st=""NY"", metro_nickname=""Western New York, Genesee Valley"", csa_name=""Rochester-Batavia-Seneca Falls, NY CSA"">"
Honolulu Advertiser	Obama	Kerry	Gore	Clinton		75	140331	140331	150276	21.3069444	-157.8583333	HI	Honolulu	Honolulu Advertiser	371657	"#<struct CityMetro st=""HI"", city=""Honolulu"", fips_state=""15"", fips_place=""17000"", cbsa_code=""26180"", metro_name=""Honolulu, HI MSA"", metro_stature=""MSA"", pop_2007=905601, pop_2000=876156, pop_rank=54, pop_chg_pct_00_07=3.36, pop_chg_pct_avg=0.48, pop_at_or_above=166542856, pop_aoa_pct=54.6, metro_st=""HI"", metro_nickname=""O_ahu"", csa_name=nil>"
Asheboro Courier Tribune				Dole	GHWBush					35.7079146	-79.8136446	NC	Asheboro	Asheboro Courier Tribune	23443	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
St. Louis Post Dispatch	Obama	Kerry	Gore	Clinton	Clinton	27	255057	255057	414564	38.6272733	-90.1978889	MO	Saint Louis	St. Louis Post Dispatch	320916	"#<struct CityMetro st=""MO"", city=""Saint Louis"", fips_state=""29"", fips_place=""65000"", cbsa_code=""41180"", metro_name=""Saint Louis, MO-IL MSA"", metro_stature=""MSA"", pop_2007=2803707, pop_2000=2698672, pop_rank=18, pop_chg_pct_00_07=3.89, pop_chg_pct_avg=0.56, pop_at_or_above=108527299, pop_aoa_pct=35.6, metro_st=""MO-IL"", metro_nickname=""Greater Saint Louis"", csa_name=""Saint Louis-Saint Charles-Farmington, MO-IL CSA"">"
Liberal Southwest Daily Times				Dole						37.0430812	-100.920999	KS	Liberal	Liberal Southwest Daily Times	20182	"#<struct CityMetro st=""KS"", city=""Liberal"", fips_state=""20"", fips_place=""39825"", cbsa_code=""30580"", metro_name=""Liberal, KS uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
North Jersey Herald and News					Clinton					40.8567663	-74.1284764	NJ	Passaic	North Jersey Herald and News	68845	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Palestine Herald Press				Clinton	Clinton					31.7621153	-95.6307891	TX	Palestine	Palestine Herald Press	17930	"#<struct CityMetro st=""TX"", city=""Palestine"", fips_state=""48"", fips_place=""54708"", cbsa_code=""37300"", metro_name=""Palestine, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Cullman Times				Dole						34.1748208	-86.8436124	AL	Cullman	Cullman Times	14796	"#<struct CityMetro st=""AL"", city=""Cullman"", fips_state=""01"", fips_place=""18976"", cbsa_code=""18980"", metro_name=""Cullman, AL uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Harrisburg Patriot News	Obama		Bush				95588			40.2737002	-76.8844179	PA	Harrisburg	Harrisburg Patriot News	47840	"#<struct CityMetro st=""PA"", city=""Harrisburg"", fips_state=""42"", fips_place=""32800"", cbsa_code=""25420"", metro_name=""Harrisburg-Carlisle, PA MSA"", metro_stature=""MSA"", pop_2007=528892, pop_2000=509081, pop_rank=94, pop_chg_pct_00_07=3.89, pop_chg_pct_avg=0.56, pop_at_or_above=194195584, pop_aoa_pct=63.6, metro_st=""PA"", metro_nickname="""", csa_name=""Harrisburg-Carlisle-Lebanon, PA CSA"">"
Hays Daily News	Obama						12414			38.8791783	-99.3267702	KS	Hays	Hays Daily News	19883	"#<struct CityMetro st=""KS"", city=""Hays"", fips_state=""20"", fips_place=""31100"", cbsa_code=""25700"", metro_name=""Hays, KS uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Pioneer	McCain	Bush								47.4735633	-94.8802767	MN	Bemidji	Pioneer	13331	"#<struct CityMetro st=""MN"", city=""Bemidji"", fips_state=""27"", fips_place=""05068"", cbsa_code=""13420"", metro_name=""Bemidji, MN uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Star	McCain									43.1836046	-89.2137254	WI	Sun Prairie	Star	25561	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Sullivan Daily Times				Clinton	Clinton					39.0953199	-87.4058525	IN	Sullivan	Sullivan Daily Times	4588	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>
Orlando Sentinel	Obama	Kerry	Bush		GHWBush	33	227593	227593	332030	28.5383355	-81.3792365	FL	Orlando	Orlando Sentinel	207970	"#<struct CityMetro st=""FL"", city=""Orlando"", fips_state=""12"", fips_place=""53000"", cbsa_code=""36740"", metro_name=""Orlando-Kissimmee, FL MSA"", metro_stature=""MSA"", pop_2007=2032496, pop_2000=1644563, pop_rank=27, pop_chg_pct_00_07=23.59, pop_chg_pct_avg=3.37, pop_at_or_above=129268760, pop_aoa_pct=42.4, metro_st=""FL"", metro_nickname=""Greater Orlando, Central Florida"", csa_name=""Orlando-Deltona-Daytona Beach, FL CSA"">"
Richmond Times Dispatch	McCain	Bush	Bush	Dole		57	175265	175265	205895	37.5537575	-77.4602617	VA	Richmond	Richmond Times Dispatch	190886	"#<struct CityMetro st=""VA"", city=""Richmond"", fips_state=""51"", fips_place=""67000"", cbsa_code=""40060"", metro_name=""Richmond, VA MSA"", metro_stature=""MSA"", pop_2007=1212977, pop_2000=1096955, pop_rank=43, pop_chg_pct_00_07=10.58, pop_chg_pct_avg=1.51, pop_at_or_above=154937456, pop_aoa_pct=50.8, metro_st=""VA"", metro_nickname=""Richmond-Petersburg"", csa_name=nil>"
Arizona Daily Star		Kerry	Gore	Clinton	Clinton	88	113373	113373	164033	32.2217429	-110.926479	AZ	Tucson	Arizona Daily Star	518907	"#<struct CityMetro st=""AZ"", city=""Tucson"", fips_state=""04"", fips_place=""77000"", cbsa_code=""46060"", metro_name=""Tucson, AZ MSA"", metro_stature=""MSA"", pop_2007=967089, pop_2000=843746, pop_rank=52, pop_chg_pct_00_07=14.62, pop_chg_pct_avg=2.09, pop_at_or_above=164731500, pop_aoa_pct=54.0, metro_st=""AZ"", metro_nickname=""The Old Pueblo"", csa_name=nil>"
Metrowest Daily News			Gore				22613			42.2792625	-71.416172	MA	Framingham	Metrowest Daily News	66910	"#<struct CityMetro st=""MA"", city=""Framingham"", fips_state=""25"", fips_place=""24960"", cbsa_code=""14460"", metro_name=""Boston-Cambridge-Quincy, MA-NH MSA"", metro_stature=""MSA"", pop_2007=4482857, pop_2000=4392340, pop_rank=10, pop_chg_pct_00_07=2.06, pop_chg_pct_avg=0.29, pop_at_or_above=79298886, pop_aoa_pct=26.0, metro_st=""MA-NH"", metro_nickname=""Greater Boston"", csa_name=""Boston-Worcester-Manchester, MA-RI-NH CSA"">"
Brookings Daily Register					Clinton		4632			44.3113573	-96.7983877	SD	Brookings	Brookings Daily Register	18216	"#<struct CityMetro st=""SD"", city=""Brookings"", fips_state=""46"", fips_place=""07580"", cbsa_code=""15100"", metro_name=""Brookings, SD uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Chattanooga News Free Press										35.0456297	-85.3096801	TN	Chattanooga	Chattanooga News Free Press	155554	"#<struct CityMetro st=""TN"", city=""Chattanooga"", fips_state=""47"", fips_place=""14000"", cbsa_code=""16860"", metro_name=""Chattanooga, TN-GA MSA"", metro_stature=""MSA"", pop_2007=514568, pop_2000=476513, pop_rank=97, pop_chg_pct_00_07=7.99, pop_chg_pct_avg=1.14, pop_at_or_above=195757020, pop_aoa_pct=64.1, metro_st=""TN-GA"", metro_nickname="""", csa_name=""Chattanooga-Cleveland-Athens, TN-GA CSA"">"
Berkshire Eagle	Obama	Kerry	Gore		Clinton		26427			42.4500846	-73.2453824	MA	Pittsfield	Berkshire Eagle	44174	"#<struct CityMetro st=""MA"", city=""Pittsfield"", fips_state=""25"", fips_place=""53960"", cbsa_code=""38340"", metro_name=""Pittsfield, MA MSA"", metro_stature=""MSA"", pop_2007=129798, pop_2000=134953, pop_rank=309, pop_chg_pct_00_07=-3.82, pop_chg_pct_avg=-0.55, pop_at_or_above=244201211, pop_aoa_pct=80.0, metro_st=""MA"", metro_nickname=nil, csa_name=nil>"
Vallejo Times Herald				Clinton			16957			38.1040864	-122.2566367	CA	Vallejo	Vallejo Times Herald	120446	"#<struct CityMetro st=""CA"", city=""Vallejo"", fips_state=""06"", fips_place=""81666"", cbsa_code=""46700"", metro_name=""Vallejo-Fairfield, CA MSA"", metro_stature=""MSA"", pop_2007=408599, pop_2000=394542, pop_rank=118, pop_chg_pct_00_07=3.56, pop_chg_pct_avg=0.51, pop_at_or_above=205270394, pop_aoa_pct=67.3, metro_st=""CA"", metro_nickname=""Solano County"", csa_name=""San Jose-San Francisco-Oakland, CA CSA"">"
Ames Daily Tribune Hawk Eye					Clinton					42.0347081	-93.6199402	IA	Ames	Ames Daily Tribune Hawk Eye	56606	"#<struct CityMetro st=""IA"", city=""Ames"", fips_state=""19"", fips_place=""01855"", cbsa_code=""11180"", metro_name=""Ames, IA MSA"", metro_stature=""MSA"", pop_2007=84752, pop_2000=79981, pop_rank=425, pop_chg_pct_00_07=5.97, pop_chg_pct_avg=0.85, pop_at_or_above=251227386, pop_aoa_pct=82.3, metro_st=""IA"", metro_nickname="""", csa_name=""Ames-Boone, IA CSA"">"
Repository	Obama	Bush	Bush				65789			40.7989473	-81.378447	OH	Canton	Repository	78160	"#<struct CityMetro st=""OH"", city=""Canton"", fips_state=""39"", fips_place=""12000"", cbsa_code=""15940"", metro_name=""Canton-Massillon, OH MSA"", metro_stature=""MSA"", pop_2007=407180, pop_2000=406968, pop_rank=120, pop_chg_pct_00_07=0.05, pop_chg_pct_avg=0.01, pop_at_or_above=206085211, pop_aoa_pct=67.5, metro_st=""OH"", metro_nickname=nil, csa_name=nil>"
Wooster Daily Record				Dole	GHWBush		22150			40.8050565	-81.935143	OH	Wooster	Wooster Daily Record	25725	"#<struct CityMetro st=""OH"", city=""Wooster"", fips_state=""39"", fips_place=""86548"", cbsa_code=""49300"", metro_name=""Wooster, OH uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Boca Raton News			Gore							26.3586885	-80.0830984	FL	Boca Raton	Boca Raton News	80689	"#<struct CityMetro st=""FL"", city=""Boca Raton"", fips_state=""12"", fips_place=""07300"", cbsa_code=""33100"", metro_name=""Miami-Fort Lauderdale-Pompano Beach, FL MSA"", metro_stature=""MSA"", pop_2007=5413212, pop_2000=5007988, pop_rank=7, pop_chg_pct_00_07=8.09, pop_chg_pct_avg=1.16, pop_at_or_above=64230560, pop_aoa_pct=21.0, metro_st=""FL"", metro_nickname=""South Florida or Miami metro"", csa_name=nil>"
Herald Journal	McCain	Bush	Bush				42380			34.9495672	-81.9320482	SC	Spartanburg	Herald Journal	37992	"#<struct CityMetro st=""SC"", city=""Spartanburg"", fips_state=""45"", fips_place=""68290"", cbsa_code=""43900"", metro_name=""Spartanburg, SC MSA"", metro_stature=""MSA"", pop_2007=275534, pop_2000=253791, pop_rank=163, pop_chg_pct_00_07=8.57, pop_chg_pct_avg=1.22, pop_at_or_above=220826104, pop_aoa_pct=72.4, metro_st=""SC"", metro_nickname=""The Upstate"", csa_name=""Greenville-Spartanburg-Anderson, SC CSA"">"
New York Observer				Dole						40.7142691	-74.0059729	NY	New York City	New York Observer	8008278	"#<struct CityMetro st=""NY"", city=""New York City"", fips_state=""36"", fips_place=""51000"", cbsa_code=""35620"", metro_name=""New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"", metro_stature=""MSA"", pop_2007=18815988, pop_2000=18323002, pop_rank=1, pop_chg_pct_00_07=2.69, pop_chg_pct_avg=0.38, pop_at_or_above=18815988, pop_aoa_pct=6.2, metro_st=""NY-NJ-PA"", metro_nickname=""Greater New York, Tri-State Region"", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"
Tuscaloosa News	Obama	Kerry	Gore				32768			33.2098407	-87.5691735	AL	Tuscaloosa	Tuscaloosa News	79816	"#<struct CityMetro st=""AL"", city=""Tuscaloosa"", fips_state=""01"", fips_place=""77256"", cbsa_code=""46220"", metro_name=""Tuscaloosa, AL MSA"", metro_stature=""MSA"", pop_2007=205218, pop_2000=192034, pop_rank=199, pop_chg_pct_00_07=6.87, pop_chg_pct_avg=0.98, pop_at_or_above=229467411, pop_aoa_pct=75.2, metro_st=""AL"", metro_nickname=nil, csa_name=nil>"
Ithaca Journal			Gore				14771			42.4406284	-76.4966071	NY	Ithaca	Ithaca Journal	31159	"#<struct CityMetro st=""NY"", city=""Ithaca"", fips_state=""36"", fips_place=""38077"", cbsa_code=""27060"", metro_name=""Ithaca, NY MSA"", metro_stature=""MSA"", pop_2007=101055, pop_2000=96501, pop_rank=380, pop_chg_pct_00_07=4.72, pop_chg_pct_avg=0.67, pop_at_or_above=249817563, pop_aoa_pct=81.9, metro_st=""NY"", metro_nickname="""", csa_name=""Ithaca-Cortland, NY CSA"">"
Post Crescent			Gore				51029			44.2619309	-88.4153847	WI	Appleton	Post Crescent	70112	"#<struct CityMetro st=""WI"", city=""Appleton"", fips_state=""55"", fips_place=""02375"", cbsa_code=""11540"", metro_name=""Appleton, WI MSA"", metro_stature=""MSA"", pop_2007=218026, pop_2000=201602, pop_rank=195, pop_chg_pct_00_07=8.15, pop_chg_pct_avg=1.16, pop_at_or_above=228635609, pop_aoa_pct=74.9, metro_st=""WI"", metro_nickname=""Fox Valley"", csa_name=""Appleton-Oshkosh-Neenah, WI CSA"">"
Temple Daily Telegram					Clinton		19361			31.0982344	-97.342782	TX	Temple	Temple Daily Telegram	55703	"#<struct CityMetro st=""TX"", city=""Temple"", fips_state=""48"", fips_place=""72176"", cbsa_code=""28660"", metro_name=""Killeen-Temple-Fort Hood, TX MSA"", metro_stature=""MSA"", pop_2007=370008, pop_2000=330712, pop_rank=134, pop_chg_pct_00_07=11.88, pop_chg_pct_avg=1.7, pop_at_or_above=211544266, pop_aoa_pct=69.3, metro_st=""TX"", metro_nickname=nil, csa_name=nil>"
News Virginian	McCain						7478			38.0684693	-78.8894682	VA	Waynesboro	News Virginian	20904	"#<struct CityMetro st=""VA"", city=""Waynesboro"", fips_state=""51"", fips_place=""83680"", cbsa_code=""44420"", metro_name=""Staunton-Waynesboro, VA uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Palatka Daily News	McCain						11000			29.6485801	-81.6375819	FL	Palatka	Palatka Daily News	10737	"#<struct CityMetro st=""FL"", city=""Palatka"", fips_state=""12"", fips_place=""53875"", cbsa_code=""37260"", metro_name=""Palatka, FL uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
Thomasville Times Enterprise				Dole			9303			30.8365815	-83.9787808	GA	Thomasville	Thomasville Times Enterprise	18528	"#<struct CityMetro st=""GA"", city=""Thomasville"", fips_state=""13"", fips_place=""76224"", cbsa_code=""45620"", metro_name=""Thomasville, GA uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"
